GSVIVT01000001001								
GSVIVT01000002001	PF00999	PTHR10110	KOG1965			AT3G05030.1	ATNHX2,NHX2	sodium hydrogen exchanger 2
GSVIVT01000003001						AT5G27390.1		Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein
GSVIVT01000004001	PF04536					AT1G54780.1	TLP18.3	thylakoid lumen 18.3 kDa protein
GSVIVT01000005001						AT1G54790.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01000006001	PF00657					AT1G54790.2		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01000007001	PF00657					AT1G54790.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01000008001	PF00225	PTHR16012				AT3G63480.2		ATP binding microtubule motor family protein
GSVIVT01000009001	PF10294,PF01063	PTHR11825	KOG0975			AT5G27410.2		D-aminoacid aminotransferase-like PLP-dependent enzymes superfamily protein
GSVIVT01000010001								
GSVIVT01000012001	PF00010					AT1G72210.1		basic helix-loop-helix (bHLH) DNA-binding superfamily protein
GSVIVT01000015001	PF00097	PTHR22764				AT3G05200.1	ATL6	RING/U-box superfamily protein
GSVIVT01000016001	PF03834,PF00633	PTHR12749	KOG2841		K10849	AT3G05210.1	ERCC1,UVR7	nucleotide repair protein, putative
GSVIVT01000017001	PF00069,PF07714	PTHR23258	KOG1187			AT1G54820.1		Protein kinase superfamily protein
GSVIVT01000019001	PF04101	PTHR12867	KOG3349			AT4G16710.1		glycosyltransferase family protein 28
GSVIVT01000020001	PF00097	PTHR22996	KOG4172			AT5G19080.1		RING/U-box superfamily protein
GSVIVT01000021001	PF00403	PTHR22814	KOG1603			AT3G06130.1		Heavy metal transport/detoxification superfamily protein 
GSVIVT01000023001								
GSVIVT01000024001	PF04573	PTHR12804	KOG3372	3.4.-.-	K12948	AT5G27430.1		Signal peptidase subunit
GSVIVT01000025001						AT2G24960.2		
GSVIVT01000026001								
GSVIVT01000027001	PF01699	PTHR12266	KOG2399			AT1G08960.1	ATCAX11,CAX11	cation exchanger 11
GSVIVT01000030001						AT1G54850.1		HSP20-like chaperones superfamily protein
GSVIVT01000033001			KOG0710			AT1G54850.1		HSP20-like chaperones superfamily protein
GSVIVT01000034001	PF01535	PTHR10483				AT3G05240.1	MEF19	mitochondrial editing factor  19
GSVIVT01000035001	PF00097	PTHR12456				AT3G05250.1		RING/U-box superfamily protein
GSVIVT01000036001	PF01425	PTHR11895	KOG1211			AT1G08980.1	AMI1,ATAMI1,ATTOC64-I,TOC64-I	amidase 1
GSVIVT01000037001	PF00288,PF08544	PTHR10457	KOG1511	2.7.1.36	K00869	AT5G27450.2	MK,MVK	mevalonate kinase
GSVIVT01000038001		PTHR19410	KOG0725			AT1G54870.1		NAD(P)-binding Rossmann-fold superfamily protein
GSVIVT01000039001						AT1G54860.1		Glycoprotein membrane precursor GPI-anchored
GSVIVT01000040001						AT1G54920.2		
GSVIVT01000041001	PF02403,PF00587	PTHR11778	KOG2509	6.1.1.11	K01875	AT5G27470.1		seryl-tRNA synthetase / serine--tRNA ligase
GSVIVT01000042001	PF04893	PTHR12822	KOG3114			AT5G27490.1		Integral membrane Yip1 family protein
GSVIVT01000043001	PF00153	PTHR11896	KOG0769			AT3G05290.1	PNC1	peroxisomal adenine nucleotide carrier 1
GSVIVT01000044001	PF08477,PF00036,PF08356,PF08355	PTHR11708	KOG1707			AT5G27540.1	emb2473,MIRO1	MIRO-related GTP-ase 1
GSVIVT01000045001	PF08613,PF00134		KOG1674			AT3G05327.1		Cyclin family protein
GSVIVT01000046001	PF01501	PTHR11183	KOG1950			AT1G54940.1	PGSIP4	plant glycogenin-like starch initiation protein 4
GSVIVT01000047001	PF00069,PF07714	PTHR22986	KOG0198			AT1G09000.1	ANP1,MAPKKK1,NP1	NPK1-related protein kinase 1
GSVIVT01000048001						AT3G05330.1	ATN,ATTAN	cyclin family
GSVIVT01000050001	PF00225	PTHR16012	KOG4280			AT5G27550.1		P-loop containing nucleoside triphosphate hydrolases superfamily protein
GSVIVT01000051001	PF09353					AT5G27560.1		Domain of unknown function (DUF1995)
GSVIVT01000052001	PF08597	PTHR21681	KOG4813		K03245	AT5G37475.1		Translation initiation factor eIF3 subunit
GSVIVT01000053001	PF00226	PTHR11821				AT3G05345.1		Chaperone DnaJ-domain superfamily protein
GSVIVT01000054001								
GSVIVT01000055001	PF08263,PF00560,PF00069,PF07714	PTHR23258	KOG1187			AT5G46330.1	FLS2	Leucine-rich receptor-like protein kinase family protein
GSVIVT01000056001	PF00657	PTHR22835:SF27				AT3G26430.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01000057001								
GSVIVT01000058001	PF08263,PF00560,PF00069,PF07714,PF00190,PF07883	PTHR23258	KOG1187			AT3G47570.1		Leucine-rich repeat protein kinase family protein
GSVIVT01000059001						AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000060001	PF00560,PF00190,PF07883	PTHR23258				AT5G39120.1		RmlC-like cupins superfamily protein
GSVIVT01000061001								
GSVIVT01000062001	PF00190,PF07883					AT5G39150.1		RmlC-like cupins superfamily protein
GSVIVT01000063001	PF00190,PF07883					AT3G05950.1		RmlC-like cupins superfamily protein
GSVIVT01000064001								
GSVIVT01000065001						AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000066001	PF00190,PF07883					AT3G05950.1		RmlC-like cupins superfamily protein
GSVIVT01000067001	PF00190,PF07883					AT3G05950.1		RmlC-like cupins superfamily protein
GSVIVT01000068001	PF00190,PF07883					AT3G05950.1		RmlC-like cupins superfamily protein
GSVIVT01000069001	PF00190					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000070001	PF00190,PF07883					AT3G05950.1		RmlC-like cupins superfamily protein
GSVIVT01000071001	PF00190,PF07883					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000072001	PF01535	PTHR10483				AT3G05340.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01000073001	PF00703	PTHR10066				AT1G09010.1		glycoside hydrolase family 2 protein
GSVIVT01000074001	PF00501	PTHR11968	KOG1256			AT5G27600.1	ATLACS7,LACS7	long-chain acyl-CoA synthetase 7
GSVIVT01000075001		PTHR11968:SF8				AT5G27600.1	ATLACS7,LACS7	long-chain acyl-CoA synthetase 7
GSVIVT01000077001						AT5G12260.1		
GSVIVT01000078001								
GSVIVT01000079001	PF00557,PF01321	PTHR10804	KOG2413	3.4.11.9	K01262	AT3G05350.1		Metallopeptidase M24 family protein
GSVIVT01000080001						AT1G54990.1	AXR4,RGR,RGR1	alpha/beta-Hydrolases superfamily protein
GSVIVT01000081001	PF00646,PF01476	PTHR20932	KOG2850			AT1G55000.3		peptidoglycan-binding LysM domain-containing protein
GSVIVT01000083001	PF01477,PF00305	PTHR11771				AT1G55020.1	ATLOX1,LOX1	lipoxygenase 1
GSVIVT01000084001	PF01477,PF00305	PTHR11771		1.13.11.12	K00454	AT1G55020.1	ATLOX1,LOX1	lipoxygenase 1
GSVIVT01000086001	PF01535	PTHR10483				AT3G14330.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01000087001	PF00136	PTHR10322	KOG0968	2.7.7.7	K02350	AT1G67500.1	ATREV3,REV3	recovery protein 3
GSVIVT01000088001	PF00641	PTHR23238				AT1G55040.1		zinc finger (Ran-binding) family protein
GSVIVT01000089001	PF00249,PF06584	PTHR21689	KOG1019			AT3G05380.4	ALY2,ATALY2	DIRP ;Myb-like DNA-binding domain
GSVIVT01000091001	PF00571	PTHR13780	KOG1764			AT1G09020.1	ATSNF4,SNF4	homolog of yeast sucrose nonfermenting 4
GSVIVT01000093001	PF07496	PTHR23336				AT3G62900.1		CW-type Zinc Finger
GSVIVT01000094001						AT3G62900.1		CW-type Zinc Finger
GSVIVT01000095001	PF00190,PF07883					AT5G39120.1		RmlC-like cupins superfamily protein
GSVIVT01000097001	PF00190,PF07883					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000098001	PF00190,PF07883					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000099001						AT3G62900.1		CW-type Zinc Finger
GSVIVT01000100001	PF00190,PF07883					AT5G39120.1		RmlC-like cupins superfamily protein
GSVIVT01000101001	PF00190,PF07883					AT5G39150.1		RmlC-like cupins superfamily protein
GSVIVT01000102001	PF00190,PF07883					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000103001	PF00190,PF07883					AT5G39110.1		RmlC-like cupins superfamily protein
GSVIVT01000104001						AT5G67550.1		
GSVIVT01000105001		PTHR22925				AT3G49880.1		glycosyl hydrolase family protein 43
GSVIVT01000107001	PF03514					AT4G37650.1	SGR7,SHR	GRAS family transcription factor
GSVIVT01000108001	PF00160	PTHR11071	KOG0883	5.2.1.8	K10598	AT5G67530.1	ATPUB49,PUB49	plant U-box 49
GSVIVT01000109001						AT3G49890.1		
GSVIVT01000111001	PF01583	PTHR11055	KOG0635	2.7.1.25	K00860	AT2G14750.1	AKN1,APK,APK1,ATAKN1	APS kinase
GSVIVT01000112001						AT3G49900.1		Phototropic-responsive NPH3 family protein
GSVIVT01000113001								
GSVIVT01000114001	PF00467	PTHR11143	KOG3401		K02898	AT3G49910.1		Translation protein SH3-like family protein
GSVIVT01000115001		PTHR11743				AT5G67500.1	ATVDAC2,VDAC2	voltage dependent anion channel 2
GSVIVT01000116001	PF00690,PF00122,PF00689	PTHR11939				AT4G37640.1	ACA2	calcium ATPase 2
GSVIVT01000117001						AT5G67530.1	ATPUB49,PUB49	plant U-box 49
GSVIVT01000118001						AT3G49890.1		
GSVIVT01000120001	PF01583	PTHR11055	KOG0635	2.7.1.25	K00860	AT3G49900.1		Phototropic-responsive NPH3 family protein
GSVIVT01000121001	PF00467	PTHR11143	KOG3401		K02898	AT3G49910.1		Translation protein SH3-like family protein
GSVIVT01000122001	PF01459	PTHR11743	KOG3126			AT5G67500.1	ATVDAC2,VDAC2	voltage dependent anion channel 2
GSVIVT01000123001	PF00690,PF00689,PF12515	PTHR11939				AT1G27770.1	ACA1,PEA1	autoinhibited Ca2+-ATPase 1
GSVIVT01000124001	PF02985,PF12422		KOG1949		K11492	AT1G64960.1		ARM repeat superfamily protein
GSVIVT01000125001	PF00134,PF02984	PTHR10177				AT4G37630.2	CYCD5;1	cyclin d5;1
GSVIVT01000126001	PF00651,PF02135	PTHR23230	KOG1778			AT5G67480.2	ATBT4,BT4	BTB and TAZ domain protein 4
GSVIVT01000127001	PF02181	PTHR23213				AT5G67470.1	ATFH6,FH6	formin homolog 6
GSVIVT01000128001	PF07983					AT5G67460.1		O-Glycosyl hydrolases family 17 protein
GSVIVT01000129001								
GSVIVT01000130001	PF03000					AT2G14820.1	NPY2	Phototropic-responsive NPH3 family protein
GSVIVT01000131001	PF00583	PTHR23091				AT2G23060.1		Acyl-CoA N-acyltransferases (NAT) superfamily protein
GSVIVT01000132001	PF00069	PTHR11295	KOG0668	2.7.11.1	K03097	AT2G23070.1		Protein kinase superfamily protein
GSVIVT01000134001	PF10343	PTHR21314	KOG2524					
GSVIVT01000135001	PF03069			3.5.1.49	K01455	AT4G37560.1		Acetamidase/Formamidase family protein
GSVIVT01000137001	PF03069			3.5.1.49	K01455	AT4G37560.1		Acetamidase/Formamidase family protein
GSVIVT01000139001								
GSVIVT01000140001	PF03069			3.5.1.49	K01455	AT4G37560.1		Acetamidase/Formamidase family protein
GSVIVT01000141001	PF03195					AT4G37540.1	LBD39	LOB domain-containing protein 39
GSVIVT01000142001						AT3G49950.1		GRAS family transcription factor
GSVIVT01000143001						AT2G14850.1		
GSVIVT01000144001	PF00141					AT5G67400.1	RHS19	root hair specific 19
GSVIVT01000145001						AT5G67390.2		
GSVIVT01000146001	PF00651,PF03000					AT5G67385.1		Phototropic-responsive NPH3 family protein
GSVIVT01000147001								
GSVIVT01000148001						AT4G37510.1		Ribonuclease III family protein
GSVIVT01000149001	PF00069	PTHR11295	KOG0668	2.7.11.1	K03097	AT5G67380.1	ATCKA1,CKA1	casein kinase alpha 1
GSVIVT01000150001	PF08927,PF04419					AT2G23090.1		Uncharacterised protein family SERF
GSVIVT01000151001	PF00887	PTHR23310				AT4G24230.6	ACBP3	acyl-CoA-binding domain 3
GSVIVT01000152001			KOG4332			AT2G23093.1		Major facilitator superfamily protein
GSVIVT01000153001	PF03171	PTHR10869	KOG1591			AT4G33910.1		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
GSVIVT01000154001	PF06799					AT5G67370.1		Protein of unknown function (DUF1230)
GSVIVT01000155001	PF00226	PTHR11821				AT4G37480.1		Chaperone DnaJ-domain superfamily protein
GSVIVT01000156001	PF05922,PF02225	PTHR10795				AT5G67360.1	ARA12	Subtilase family protein
GSVIVT01000157001		PTHR11821:SF9				AT4G37480.1		Chaperone DnaJ-domain superfamily protein
GSVIVT01000158001						AT5G67350.1		
GSVIVT01000159001	PF00481	PTHR13832	KOG0700			AT4G33920.1		Protein phosphatase 2C family protein
GSVIVT01000162001		PTHR10992	KOG1454			AT4G37470.1		alpha/beta-Hydrolases superfamily protein
GSVIVT01000163001	PF00515,PF07719	PTHR23083	KOG0548			AT4G37460.1	SRFR1	Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01000164001	PF07719,PF00515	PTHR22904				AT3G50030.1		ARM-repeat/Tetratricopeptide repeat (TPR)-like protein
GSVIVT01000167001	PF00400	PTHR22850	KOG0277			AT4G34280.1		transducin family protein / WD-40 repeat family protein
GSVIVT01000168001	PF02704					AT2G14900.1		Gibberellin-regulated family protein
GSVIVT01000169001	PF04564,PF00514	PTHR23315				AT2G23140.1		RING/U-box superfamily protein with ARM repeat domain
GSVIVT01000170001		PTHR13683	KOG1339			AT5G43100.1		Eukaryotic aspartyl protease family protein
GSVIVT01000171001	PF07899					AT5G48385.1		FRIGIDA-like protein
GSVIVT01000173001	PF01566	PTHR11706	KOG1291			AT2G23150.1	ATNRAMP3,NRAMP3	natural resistance-associated macrophage protein 3
GSVIVT01000174001	PF00097	PTHR12183	KOG4172			AT4G24204.2		RING/U-box superfamily protein
GSVIVT01000175001	PF00319	PTHR11945				AT2G45650.1	AGL6	AGAMOUS-like 6
GSVIVT01000176001	PF03321				K14487	AT2G14960.1	GH3.1	Auxin-responsive GH3 family protein
GSVIVT01000177001								
GSVIVT01000178001	PF01535	PTHR10483				AT4G37380.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01000179001	PF08513,PF00400	PTHR22846	KOG0273			AT5G67320.1	HOS15	WD-40 repeat family protein
GSVIVT01000181001		PTHR19383				AT1G66540.1		Cytochrome P450 superfamily protein
GSVIVT01000182001	PF00067	PTHR19383	KOG0156			AT4G37340.1	CYP81D3	cytochrome P450, family 81, subfamily D, polypeptide 3
GSVIVT01000184001	PF00067	PTHR19383	KOG0156			AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000186001		PTHR19383				AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000187001	PF00067	PTHR19383	KOG0156	1.14.-.-	K00517	AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000189001		PTHR19383				AT4G37360.1	CYP81D2	cytochrome P450, family 81, subfamily D, polypeptide 2
GSVIVT01000190001		PTHR19383:SF42						
GSVIVT01000191001								
GSVIVT01000192001	PF00067	PTHR19383				AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000194001		PTHR19383				AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000196001	PF00067	PTHR19383	KOG0156			AT4G37370.1	CYP81D8	cytochrome P450, family 81, subfamily D, polypeptide 8
GSVIVT01000198001		PTHR19383				AT4G37360.1	CYP81D2	cytochrome P450, family 81, subfamily D, polypeptide 2
GSVIVT01000199001		PTHR19383				AT4G37340.1	CYP81D3	cytochrome P450, family 81, subfamily D, polypeptide 3
GSVIVT01000200001	PF00067,PF00069,PF07714,PF11721	PTHR23258	KOG0156			AT5G24010.1		Protein kinase superfamily protein
GSVIVT01000205001								
GSVIVT01000208001						AT4G37300.1	MEE59	maternal effect embryo arrest 59
GSVIVT01000209001						AT4G00300.2		fringe-related protein
GSVIVT01000210001	PF00069,PF07714,PF11721	PTHR23258	KOG1187			AT5G24010.1		Protein kinase superfamily protein
GSVIVT01000211001	PF00069,PF07714,PF11721	PTHR23258	KOG1187			AT5G24010.1		Protein kinase superfamily protein
GSVIVT01000212001	PF00069,PF07714	PTHR23258	KOG1187			AT2G23200.1		Protein kinase superfamily protein
GSVIVT01000213001								
GSVIVT01000214001						AT4G37290.1		
GSVIVT01000215001	PF05712,PF11717	PTHR10880	KOG3001		K11339	AT4G37280.1		MRG family protein
GSVIVT01000216001	PF08240,PF00107	PTHR11695	KOG0023			AT3G19450.1	ATCAD4,CAD,CAD-C,CAD4	GroES-like zinc-binding alcohol dehydrogenase family protein
GSVIVT01000217001	PF00122,PF00702	PTHR11939	KOG0207			AT4G37270.1	ATHMA1,HMA1	heavy metal atpase 1
GSVIVT01000219001								
GSVIVT01000222001	PF00560,PF00069	PTHR23258	KOG1187			AT4G37250.1		Leucine-rich repeat protein kinase family protein
GSVIVT01000223001	PF00307,PF03271	PTHR10623	KOG3000			AT5G67270.1	ATEB1C,ATEB1H1,EB1C	end binding protein 1C
GSVIVT01000224001	PF00025,PF01926,PF08477	PTHR11711	KOG0070		K07977	AT1G10630.1	ARFA1F,ATARFA1F	ADP-ribosylation factor A1F
GSVIVT01000226001	PF00134,PF02984	PTHR10177	KOG0656		K14505	AT5G67260.1	CYCD3;2	CYCLIN D3;2
GSVIVT01000227001	PF00646	PTHR23125				AT3G50080.1	VFB2	VIER F-box proteine 2
GSVIVT01000228001	PF00929	PTHR12801	KOG2248			AT5G67240.1	SDN3	small RNA degrading nuclease 3
GSVIVT01000229001						AT5G61510.1		GroES-like zinc-binding alcohol dehydrogenase family protein
GSVIVT01000230001	PF00304,PF01097					AT5G63660.1	LCR74,PDF2.5	Scorpion toxin-like knottin superfamily protein
GSVIVT01000232001	PF00249	PTHR10641	KOG0048		K09422	AT4G38620.1	ATMYB4,MYB4	myb domain protein 4
GSVIVT01000233001	PF00097	PTHR16079				AT1G47570.1		RING/U-box superfamily protein
GSVIVT01000234001	PF00122,PF00702	PTHR11939		3.6.3.-	K01552	AT5G23630.1	MIA,PDR2	phosphate deficiency response 2
GSVIVT01000235001						AT3G10572.1		3-phosphoinositide-dependent protein kinase-1, putative
GSVIVT01000236001						AT5G23610.2		
GSVIVT01000237001	PF07719,PF00515	PTHR16193	KOG1128			AT5G17270.1		Protein prenylyltransferase superfamily protein
GSVIVT01000238001	PF00069,PF00036	PTHR22982	KOG0027			AT4G09570.1	ATCPK4,CPK4	calcium-dependent protein kinase 4
GSVIVT01000239001	PF03061	PTHR21660	KOG3328			AT1G04290.1		Thioesterase superfamily protein
GSVIVT01000240001	PF03061	PTHR21660	KOG3328			AT1G04290.1		Thioesterase superfamily protein
GSVIVT01000243001	PF05602	PTHR21347	KOG2489			AT5G08500.1		Transmembrane CLPTM1 family protein
GSVIVT01000244001	PF01535	PTHR10483				AT5G08490.1		Tetratricopeptide repeat (TPR)-like superfamily protein
GSVIVT01000245001	PF03470,PF03468	PTHR21596:SF1				AT5G23570.1	ATSGS3,SGS3	XS domain-containing protein / XS zinc finger domain-containing protein-related
GSVIVT01000246001	PF00657	PTHR22835:SF27				AT5G08460.1		GDSL-like Lipase/Acylhydrolase superfamily protein
GSVIVT01000247001	PF00628		KOG1844			AT1G33420.1		RING/FYVE/PHD zinc finger superfamily protein
GSVIVT01000248001	PF00141			1.11.1.7	K00430	AT4G33420.1		Peroxidase superfamily protein
GSVIVT01000249001	PF07770,PF04178	PTHR23137	KOG2887			AT5G23550.1		Got1/Sft2-like vescicle transport protein family
GSVIVT01000250001						AT2G02540.1	ATHB21,HB21,ZFHD4	homeobox protein 21
GSVIVT01000251001	PF02900					AT4G15093.1		catalytic LigB subunit of aromatic ring-opening dioxygenase family
GSVIVT01000252001	PF00856	PTHR13271	KOG1337			AT3G56570.1		SET domain-containing protein
GSVIVT01000253001	PF08642		KOG4843			AT5G08450.3		
GSVIVT01000254001		PTHR22930				AT5G41980.1		
GSVIVT01000255001								
GSVIVT01000256001	PF00069	PTHR22986	KOG0198			AT4G36950.1	MAPKKK21	mitogen-activated protein kinase kinase kinase 21
GSVIVT01000257001	PF10155	PTHR15975	KOG4508			AT5G18420.2		
GSVIVT01000258001	PF07859	PTHR23024	KOG1515			AT5G23530.1	AtCXE18,CXE18	carboxyesterase 18
GSVIVT01000259001	PF00155	PTHR13693	KOG1358	2.3.1.50	K00654	AT4G36480.1	ATLCB1,EMB2779,FBR11,LCB1	long-chain base1
GSVIVT01000260001		PTHR19446:SF34						
GSVIVT01000261001	PF08590,PF01713					AT5G23520.1		smr (Small MutS Related) domain-containing protein
GSVIVT01000262001	PF01426,PF00145,PF12047	PTHR10629		2.1.1.37	K00558	AT4G08990.1		DNA (cytosine-5-)-methyltransferase family protein
GSVIVT01000263001	PF01426,PF00145,PF12047	PTHR10629		2.1.1.37	K00558	AT5G49160.1	DDM2,DMT01,DMT1,MET1,MET2,METI	methyltransferase 1
GSVIVT01000264001	PF00654,PF00571	PTHR11689	KOG0474			AT5G49890.1	ATCLC-C,CLC-C	chloride channel C
GSVIVT01000265001								
GSVIVT01000266001	PF00118	PTHR11353	KOG0364			AT5G26360.1		TCP-1/cpn60 chaperonin family protein
GSVIVT01000268001						AT5G23490.1		
GSVIVT01000269001	PF02213	PTHR14445				AT5G08430.1		SWIB/MDM2 domain;Plus-3;GYF
GSVIVT01000270001						AT5G08430.1		SWIB/MDM2 domain;Plus-3;GYF
GSVIVT01000271001	PF02201,PF03126					AT5G08430.1		SWIB/MDM2 domain;Plus-3;GYF
GSVIVT01000273001	PF01363,PF00023	PTHR18958				AT2G26210.1		Ankyrin repeat family protein
GSVIVT01000275001	PF03647	PTHR12668	KOG4267			AT3G43520.1		Transmembrane proteins 14C
GSVIVT01000277001	PF04049,PF07719,PF00515	PTHR12558	KOG1155		K03355	AT3G48150.1	APC8,CDC23	anaphase-promoting complex subunit 8
GSVIVT01000278001								
GSVIVT01000280001	PF10513	PTHR14898			K11322	AT1G79020.1		Enhancer of polycomb-like transcription factor protein
GSVIVT01000282001	PF00191	PTHR10502	KOG0819			AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000284001	PF00191	PTHR10502	KOG0819			AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000285001		PTHR10502				AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000286001	PF00191	PTHR10502				AT5G12380.1	ANNAT8	annexin 8
GSVIVT01000287001	PF00191	PTHR10502				AT5G12380.1	ANNAT8	annexin 8
GSVIVT01000288001		PTHR23023				AT1G12200.1		Flavin-binding monooxygenase family protein
GSVIVT01000289001	PF00191	PTHR10502	KOG0819			AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000290001	PF00191	PTHR10502				AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000293001	PF00191	PTHR10502				AT2G38750.1	ANNAT4	annexin 4
GSVIVT01000297001	PF00560	PTHR23258				AT1G74190.1	AtRLP15,RLP15	receptor like protein 15
GSVIVT01000299001	PF00191	PTHR10502	KOG0819			AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000300001	PF00191	PTHR10502				AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000301001								
GSVIVT01000303001	PF00191	PTHR10502				AT5G12380.1	ANNAT8	annexin 8
GSVIVT01000305001								
GSVIVT01000307001	PF00191	PTHR10502	KOG0819			AT2G38760.1	ANN3,ANNAT3	annexin 3
GSVIVT01000309001	PF00646					AT4G10925.2		Nuclear transport factor 2 (NTF2) family protein
GSVIVT01000310001	PF00191	PTHR10502				AT5G12380.1	ANNAT8	annexin 8
GSVIVT01000312001								
GSVIVT01000313001		PTHR12606				AT3G06910.1	ULP1A	UB-like protease 1A
GSVIVT01000315001	PF03439	PTHR11125				AT5G04290.1	KTF1,SPT5L	kow domain-containing transcription factor 1
GSVIVT01000316001		PTHR12001				AT2G34630.2	GPPS,GPS1	geranyl diphosphate synthase 1
GSVIVT01000318001	PF00096,PF12171					AT5G03740.1	HD2C,HDT3	histone deacetylase 2C
GSVIVT01000319001		PTHR12606				AT3G06910.1	ULP1A	UB-like protease 1A
GSVIVT01000320001	PF03134,PF12171	PTHR12300	KOG1726			AT1G74520.1	ATHVA22A,HVA22A	HVA22 homologue A
GSVIVT01000324001	PF03134	PTHR12300	KOG1726			AT1G74520.1	ATHVA22A,HVA22A	HVA22 homologue A
GSVIVT01000325001	PF03134	PTHR12300	KOG1725			AT1G74520.1	ATHVA22A,HVA22A	HVA22 homologue A
GSVIVT01000327001	PF03134	PTHR12300				AT1G69700.1	ATHVA22C,HVA22C	HVA22 homologue C
GSVIVT01000328001	PF12171					AT2G19380.1		RNA recognition motif (RRM)-containing protein
GSVIVT01000330001	PF03134	PTHR12300				AT1G74520.1	ATHVA22A,HVA22A	HVA22 homologue A
GSVIVT01000331001	PF12171	PTHR12300				AT1G74520.1	ATHVA22A,HVA22A	HVA22 homologue A
GSVIVT01000333001		PTHR11109				AT3G07270.1		GTP cyclohydrolase I
